BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE,INSTRUMENT
RTSI,RTSI,2021-11-02,Индекс РТС,Индекс РТС,1850.83,1867.07,1872.21,1838.55,1099564359.5902796,0.0,0.0,2.0,295124163190.7432,USD,159455366.0127,3,,2021-11-02,,RTSI
RTSI,RTSI,2021-11-03,Индекс РТС,Индекс РТС,1826.65,1841.9,1844.21,1820.25,896857854.554486,0.0,0.0,2.0,291269081696.1542,USD,159455366.0127,3,,2021-11-03,,RTSI
RTSI,RTSI,2021-11-05,Индекс РТС,Индекс РТС,1848.1,1831.86,1853.2,1824.53,966964919.4772766,0.0,0.0,2.0,294689060855.3246,USD,159455366.0127,3,,2021-11-05,,RTSI
RTSI,RTSI,2021-11-08,Индекс РТС,Индекс РТС,1865.46,1857.38,1865.46,1848.81,1122259087.6159205,0.0,0.0,2.0,297458153148.87036,USD,159455366.0127,3,,2021-11-08,,RTSI
RTSI,RTSI,2021-11-09,Индекс РТС,Индекс РТС,1864.21,1858.04,1877.39,1852.28,1162919492.1388426,0.0,0.0,2.0,297257692871.7959,USD,159455366.0127,3,,2021-11-09,,RTSI
RTSI,RTSI,2021-11-10,Индекс РТС,Индекс РТС,1853.64,1864.05,1870.35,1847.15,1125878313.832405,0.0,0.0,2.0,295572097042.143,USD,159455366.0127,3,,2021-11-10,,RTSI
RTSI,RTSI,2021-11-11,Индекс РТС,Индекс РТС,1854.48,1830.95,1854.57,1826.58,1463025894.3172827,0.0,0.0,2.0,295706099242.4139,USD,159455366.0127,3,,2021-11-11,,RTSI
RTSI,RTSI,2021-11-12,Индекс РТС,Индекс РТС,1784.28,1839.23,1839.23,1779.52,2787704034.17155,0.0,0.0,2.0,284512678315.73895,USD,159455366.0127,3,,2021-11-12,,RTSI
RTSI,RTSI,2021-11-15,Индекс РТС,Индекс РТС,1791.44,1789.01,1813.36,1786.81,1691840499.8212216,0.0,0.0,2.0,285654351279.7207,USD,159455366.0127,3,,2021-11-15,,RTSI
RTSI,RTSI,2021-11-16,Индекс РТС,Индекс РТС,1767.58,1799.37,1806.44,1764.64,1589007356.3581245,0.0,0.0,2.0,281849414578.219,USD,159455366.0127,3,,2021-11-16,,RTSI
RTSI,RTSI,2021-11-17,Индекс РТС,Индекс РТС,1802.52,1777.65,1803.76,1773.75,1288007926.7764423,0.0,0.0,2.0,287421143475.6262,USD,159455366.0127,3,,2021-11-17,,RTSI
RTSI,RTSI,2021-11-18,Индекс РТС,Индекс РТС,1761.96,1788.34,1798.0,1758.55,1479031775.1726906,0.0,0.0,2.0,280953223333.95,USD,159455366.0127,3,,2021-11-18,,RTSI
RTSI,RTSI,2021-11-19,Индекс РТС,Индекс РТС,1723.74,1781.88,1785.72,1714.82,2069088656.3033442,0.0,0.0,2.0,274858835213.1339,USD,159455366.0127,3,,2021-11-19,,RTSI
RTSI,RTSI,2021-11-22,Индекс РТС,Индекс РТС,1628.1,1717.46,1724.86,1628.1,2705286671.4710846,0.0,0.0,2.0,259609075294.34106,USD,159455366.0127,3,,2021-11-22,,RTSI
RTSI,RTSI,2021-11-23,Индекс РТС,Индекс РТС,1662.38,1614.61,1670.62,1585.65,2713763559.2784123,0.0,0.0,2.0,265075648909.70084,USD,159455366.0127,3,,2021-11-23,,RTSI
RTSI,RTSI,2021-11-24,Индекс РТС,Индекс РТС,1660.59,1696.69,1704.31,1650.55,1795340327.4598365,0.0,0.0,2.0,264790245078.53082,USD,159455366.0127,3,,2021-11-24,,RTSI
RTSI,RTSI,2021-11-25,Индекс РТС,Индекс РТС,1665.74,1671.42,1686.27,1659.38,989986991.605311,0.0,0.0,2.0,265611750512.16214,USD,159455366.0127,3,,2021-11-25,,RTSI
RTSI,RTSI,2021-11-26,Индекс РТС,Индекс РТС,1589.38,1608.28,1620.38,1587.42,1916246018.975871,0.0,0.0,2.0,253434455761.69446,USD,159455366.0127,3,,2021-11-26,,RTSI
RTSI,RTSI,2021-11-29,Индекс РТС,Индекс РТС,1638.72,1628.86,1664.22,1613.76,1755064513.684202,0.0,0.0,2.0,261303331572.63333,USD,159455366.0127,3,,2021-11-29,,RTSI
RTSI,RTSI,2021-11-30,Индекс РТС,Индекс РТС,1645.81,1608.53,1650.82,1608.22,2682703911.523587,0.0,0.0,2.0,262433500357.66605,USD,159455366.0127,3,,2021-11-30,,RTSI
RTSI,RTSI,2021-12-01,Индекс РТС,Индекс РТС,1687.12,1663.71,1690.17,1661.03,1619391286.5576694,0.0,0.0,2.0,269020466740.64767,USD,159455366.0127,3,,2021-12-01,,RTSI
RTSI,RTSI,2021-12-02,Индекс РТС,Индекс РТС,1690.13,1678.93,1694.0,1663.54,1494381878.3664954,0.0,0.0,2.0,269499824166.5915,USD,159455366.0127,3,,2021-12-02,,RTSI
RTSI,RTSI,2021-12-03,Индекс РТС,Индекс РТС,1668.26,1695.11,1700.57,1667.15,1123336272.7571077,0.0,0.0,2.0,266013151116.91217,USD,159455366.0127,3,,2021-12-03,,RTSI
RTSI,RTSI,2021-12-06,Индекс РТС,Индекс РТС,1622.07,1677.57,1682.98,1622.07,1333618726.4399426,0.0,0.0,2.0,258647569604.07877,USD,159455366.0127,3,,2021-12-06,,RTSI
RTSI,RTSI,2021-12-07,Индекс РТС,Индекс РТС,1647.14,1636.54,1648.59,1617.78,1714449137.545831,0.0,0.0,2.0,262645614823.11545,USD,159455366.0127,3,,2021-12-07,,RTSI
RTSI,RTSI,2021-12-08,Индекс РТС,Индекс РТС,1612.73,1662.51,1669.68,1612.73,2185144052.880351,0.0,0.0,2.0,257158629339.82977,USD,159455366.0127,3,,2021-12-08,,RTSI
RTSI,RTSI,2021-12-09,Индекс РТС,Индекс РТС,1632.54,1619.52,1644.78,1617.77,1496891933.6512053,0.0,0.0,2.0,260316511300.6482,USD,159455366.0127,3,,2021-12-09,,RTSI
RTSI,RTSI,2021-12-10,Индекс РТС,Индекс РТС,1612.25,1629.05,1633.78,1610.32,1105489938.2962217,0.0,0.0,2.0,257082669156.2548,USD,159455366.0127,3,,2021-12-10,,RTSI
RTSI,RTSI,2021-12-13,Индекс РТС,Индекс РТС,1548.09,1624.67,1628.53,1546.82,2003197773.503583,0.0,0.0,2.0,246851588060.0363,USD,159455366.0127,3,,2021-12-13,,RTSI
RTSI,RTSI,2021-12-14,Индекс РТС,Индекс РТС,1548.81,1515.84,1558.2,1514.57,2112542617.7934444,0.0,0.0,2.0,246965722724.79764,USD,159455366.0127,3,,2021-12-14,,RTSI
RTSI,RTSI,2021-12-15,Индекс РТС,Индекс РТС,1541.0,1546.78,1566.75,1538.14,1409073191.3957088,0.0,0.0,2.0,245720186800.3688,USD,159455366.0127,3,,2021-12-15,,RTSI
